Title,Plot,Quotability/cultural impact ,Laughs,Total score,IMDb rating,IMDb rank,Notes,Season ,episode
The Seinfeld Chronicles 1:1,4,8,7,9.739130435,7.6,77,2nd button joke,1,1
Male Unbonding 1:2,3,6.5,2,1.695652174,7.3,84,Kramer's pizza idea,1,2
The Stakeout 1:3,4,7,9,10.95652174,7.7,73,Art Vandelay first appearance,1,3
The Robbery 1:4,3,3.5,5.5,2.510869565,7.6,77,,1,4
The Stock Tip 1:5,3,3,6.5,2.543478261,7.5,79,,1,5
The Ex-Girlfriend 2:1 ,3,5,7.5,4.891304348,7.7,73,,2,1
The Pony Remark 2:2,4,5,8,6.956521739,7.9,68,,2,2
The Jacket 2:3,5,6,8.5,11.08695652,8.3,36,,2,3
The Phone Message 2:4,4,3,13.5,7.043478261,8.4,25,Tippy-toe!,2,4
The Apartment 2:5,2,7,9.5,5.782608696,7.9,68,"Elaine's first ""GET OUT""",2,5
The Statue 2.6,3,3,12.5,4.891304348,8,61,,2,6
The Revenge 2:7,3,7,7,6.391304348,8.3,36,George is unemployed; first mention of Newman,2,7
The Heart Attack 2:8,2,5,10,4.347826087,7.9,68,,2,8
The Deal 2:9,2,3,12,3.130434783,8.3,36,,2,9
The Baby Shower 2:10,3,3,7,2.739130435,7.5,79,,2,10
The Chinese Restaurant 2:11,5,8,17.5,30.43478261,8.7,11,,2,11
The Busboy 2:12,5,4,7,6.086956522,7.7,73,,2,12
The Note 3:1,5,7,15,22.82608696,8.2,49,,3,1
The Truth 3:2,3,3,7.5,2.934782609,7.8,72,,3,2
The Pen 3:3,3,4,11,5.739130435,8.2,49,first HELLO,3,3
The Dog 3:4,3,3,7,2.739130435,7.3,84,,3,4
The Library 3:5,4,7,7.5,9.130434783,8.6,17,cant stand ya,3,5
The Parking Garage 3:6,5,9,16,31.30434783,8.8,9,,3,6
The Cafe 3:7,4,6,9.5,9.913043478,8.4,25,Babu’s first appearance ,3,7
The Tape 3:8,4,7,14,17.04347826,8.7,11,not bloody likely,3,8
The Nose Job 3:9,3,6.5,7,5.934782609,8,61,,3,9
The Stranded 3:10,4,7,9,10.95652174,7.5,79,,3,10
The Alternate Side 3:11,4,8,14.5,20.17391304,8.3,36,,3,11
The Red Dot 3:12,3,7,10,9.130434783,8.4,25,,3,12
The Subway 3:13,5,7,14.5,22.06521739,8.7,11,,3,13
The Pez Dispenser 3:14,4,6,16.5,17.2173913,8.4,25,,3,14
The Suicide 3:15,3,4,10.5,5.47826087,7.5,79,Wayne Knight's first appearance as newman,3,15
The Fix-Up 3:16,3,6,18,14.08695652,8.4,25,,3,16
The Boyfriend_(1),3,8,15.5,16.17391304,8.7,11,,3,17
The boyfriend_(2),3,3,14,5.47826087,8.9,5,,3,18
The Limo 3:19,4,6,16,16.69565217,8.9,5,,3,19
The Good Samaritan 3:20,3,7,13,11.86956522,8,61,,3,20
The Letter 3:21,4,10,13.5,23.47826087,8,61,kramer painting,3,21
The Parking Space 3:22,5,6,11,14.34782609,8.3,36,,3,22
The Keys 3:23,5,7.5,20.5,33.42391304,8.4,25,,3,23
The Trip_(1),4.5,6,8,9.391304348,8.3,36,,4,1
The Trip_(2),4,7,17,20.69565217,8.3,36,,4,2
The Pitch 4:3,5,10,16.5,35.86956522,8.6,17,People like to say salsa,4,3
The Ticket 4:4,5,8,16.5,28.69565217,8.3,36,,4,4
The Wallet_(1),3.5,7,12,12.7826087,8.1,53,dancing gif,4,5
The Watch_(2),4,8,13,18.08695652,8.1,53,"""that's true"" gif",4,6
