Title,Plot,Quotability/cultural impact ,Laughs,Total score,IMDb rating,IMDb rank,Notes,Season ,episode
the_raincoats,3,8,38,39.65217391,8.3,79,,5,18
the_fire,4,7,27,32.86956522,8.5,49,"""Jon Favreau as eric the clown""",5,19
the_hamptons,5,9,48,93.91304348,8.9,10,"""Shrinkage""",5,20
the_opposite,4,9,31.5,49.30434783,9.6,1,,5,21
the_chaperone,4,8,31,43.13043478,7.9,149,"first ""that's a shame""",6,1
the_big_salad,4,7,26,31.65217391,8.1,112,,6,2
the_pledge_drive,3,6,12,9.391304348,8.2,98,,6,3
the_chinese_woman,4,6,15.5,16.17391304,8.1,112,,6,4
the_couch,5,9,16,31.30434783,8.1,112,,6,5
the_gymnast,4,7,24.5,29.82608696,8.2,98,,6,6
the_soup,4,6,18,18.7826087,8.1,112,,6,7
the_mom_&amp;_pop_store,4,8,12,16.69565217,8.1,112,,6,8
the_secretary,3,6,17.5,13.69565217,8.1,112,,6,9
the_race,5,9,32,62.60869565,8.9,10,,6,10
the_switch,4,9,31.5,49.30434783,8.9,10,"""Kramer's first name revealed""",6,11
the_label_maker,4,10,28,48.69565217,8.5,49,"""re-gifting""",6,12
the_scofflaw,3,7,15,13.69565217,8,135,,6,13
the_beard,4,7,20,24.34782609,8.2,98,,6,14
the_kiss_hello,3,6,23.5,18.39130435,8.2,98,,6,15
the_doorman,4,10,26.5,46.08695652,8.2,98,the bro,6,16
the_jimmy,4,6,22.5,23.47826087,8.9,10,,6,17
the_doodle,3,7,23,21,8.2,98,,6,18
the_fusilli_jerry,4,10,49,85.2173913,8.7,24,assman,6,19
the_diplomat's_club,2,5,12,5.217391304,8.1,112,,6,20
the_face_painter,3,9,21,24.65217391,8.4,58,,6,21
the_understudy,3,7,18,16.43478261,7.9,149,,6,22
the_engagement,4,8,41,57.04347826,8.6,35,,7,1
the_postponement,4,9,30,46.95652174,8.2,98,,7,2
the_maestro,3,7,18.5,16.89130435,8.1,112,,7,3
the_wink,4,9,24,37.56521739,8.6,35,,7,4
the_hot_tub,5,9,23,45,8.6,35,,7,5
the_soup_nazi,5,10,45,97.82608696,9.5,3,,7,6
the_secret_code,3,6,19,14.86956522,8.4,58,,7,7
the_pool_guy,4,9,27,42.26086957,8.3,79,,7,8
the_sponge,5,10,15,32.60869565,8.3,79,,7,9
the_gum,4,9,21,32.86956522,8.6,35,,7,10
the_rye,4,8,30,41.73913043,8.8,20,,7,11
the_caddy,4,10,37,64.34782609,8.6,35,,7,12
the_seven,4,7,21.5,26.17391304,8.1,112,,7,13
the_cadillac_(1),4,7,21,25.56521739,8.5,49,,7,14
the_cadillac_(2),3,8,18,18.7826087,8.5,49,,7,15
the_shower_head,,,,#DIV/0!,8.4,58,,7,16
the_doll,,,,#DIV/0!,8.1,112,,7,17
the_friars_club_(a.k.a._the_gypsies),,,,#DIV/0!,7.7,160,,7,18
the_wig_master,,,,#DIV/0!,8.1,112,,7,19
the_calzone,,,,#DIV/0!,8.7,24,,7,20
the_bottle_deposit_(1),,,,#DIV/0!,8.6,35,,7,21
the_bottle_deposit_(2),,,,#DIV/0!,8.6,35,,7,22
the_wait_out,,,,#DIV/0!,8.3,79,,7,23
the_invitations,,,,#DIV/0!,8.6,35,,7,24
the_foundation,,,,#DIV/0!,8.1,112,,7,25
the_soul_mate,,,,#DIV/0!,8,135,,8,1
the_bizarro_jerry,,,,#DIV/0!,9.1,6,,8,2
the_little_kicks,,,,#DIV/0!,8.9,10,,8,3
the_package,,,,#DIV/0!,8.6,35,,8,4
the_fatigues,,,,#DIV/0!,8,135,,8,5
the_checks,,,,#DIV/0!,8.1,112,,8,6
the_chicken_roaster,,,,#DIV/0!,8.9,10,,8,7
the_abstinence,,,,#DIV/0!,9,7,,8,8
the_andrea_doria,,,,#DIV/0!,8.4,58,,8,9
the_little_jerry,,,,#DIV/0!,8.3,79,,8,10
the_money,,,,#DIV/0!,7.7,160,,8,11
the_comeback,,,,#DIV/0!,8.5,49,,8,12
the_van_buren_boys,,,,#DIV/0!,8,135,,8,13
the_susie,,,,#DIV/0!,8.6,35,,8,14
the_pothole,,,,#DIV/0!,8.7,24,,8,15
the_english_patient,,,,#DIV/0!,8.5,49,,8,16
the_nap,,,,#DIV/0!,8.7,24,,8,17
the_yada_yada,,,,#DIV/0!,9,7,,8,18
the_millennium,,,,#DIV/0!,8.1,112,,8,19
the_muffin_tops,,,,#DIV/0!,8.4,58,,8,20
the_summer_of_george,,,,#DIV/0!,8.5,49,,8,21
the_butter_shave,,,,#DIV/0!,8.4,58,,9,1
the_voice,,,,#DIV/0!,8.4,58,,9,2
the_serenity_now,,,,#DIV/0!,8.8,20,,9,3
the_blood,,,,#DIV/0!,8.1,112,,9,4
the_junk_mail,,,,#DIV/0!,8,135,,9,5
the_merv_griffin_show,,,,#DIV/0!,9,7,,9,6
the_slicer,,,,#DIV/0!,8.4,58,,9,7
the_betrayal,,,,#DIV/0!,8.9,10,,9,8
the_apology,,,,#DIV/0!,8.2,98,,9,9
the_strike,,,,#DIV/0!,8.7,24,,9,10
the_dealership,,,,#DIV/0!,8.4,58,,9,11
the_reverse_peephole_(a.k.a._the_man_fur),,,,#DIV/0!,8.2,98,,9,12
the_cartoon,,,,#DIV/0!,7.9,149,,9,13
the_strongbox,,,,#DIV/0!,8,135,,9,14
the_wizard,,,,#DIV/0!,7.9,149,,9,15
the_burning,,,,#DIV/0!,8.3,79,,9,16
the_bookstore,,,,#DIV/0!,8.2,98,,9,17
the_frogger,,,,#DIV/0!,8.7,24,,9,18
the_maid,,,,#DIV/0!,8,135,,9,19
the_puerto_rican_day,,,,#DIV/0!,7.9,149,,9,20
the_finale,,,,#DIV/0!,7.8,158,,9,21
